ID_CONTA	DT_ACORDO	NU_DIAS_ATRASO	VALOR_CRELIQ	DIVIDA_ATUAL	RESPOSTA
1061358	2018-11-22	352	1848.12000000	3407.55000000	0
1391848	2018-11-22	205	280.99000000	389.40000000	0
1304033	2018-11-22	270	1009.27000000	1586.90000000	1
1137249	2018-11-22	347	1399.76000000	2555.93000000	0
1300169	2018-11-22	191	1732.62000000	2336.72000000	0
1286989	2018-11-22	301	353.48000000	590.28000000	0
1331102	2018-11-22	247	420.66000000	632.52000000	0
1385159	2018-11-22	196	1176.52000000	1602.21000000	0
1408374	2018-11-22	231	489.83000000	713.99000000	0
1359853	2018-11-22	285	365.21000000	591.21000000	0
1304133	2018-11-22	242	634.60000000	944.98000000	0
1208258	2018-11-22	301	3216.71000000	5371.60000000	0
1300505	2018-11-22	342	1733.10000000	3134.01000000	0
1436833	2018-11-22	226	346.54000000	500.24000000	0
1155418	2018-11-22	257	412.72000000	632.75000000	1
1020327	2018-11-22	191	1186.88000000	1600.70000000	0
1392045	2018-11-22	201	405.02000000	556.96000000	0
1396882	2018-11-22	290	361.76000000	591.34000000	0
1304144	2018-11-22	211	1080.49000000	1514.94000000	0
1121505	2018-11-22	235	2934.19000000	4310.29000000	0
1300787	2018-11-22	316	1968.29000000	3384.03000000	0
1271430	2018-11-22	221	325.42000000	465.21000000	1
1428159	2018-11-22	191	601.24000000	810.87000000	0
1101734	2018-11-22	325	3206.03000000	5609.25000000	0
1067406	2018-11-22	275	531.98000000	844.61000000	0
1405852	2018-11-22	247	713.42000000	1072.71000000	0
1304283	2018-11-22	252	689.27000000	1046.52000000	0
1056193	2018-11-22	247	1458.72000000	2193.37000000	0
1300937	2018-11-22	231	1404.88000000	2047.78000000	0
1240063	2018-11-22	301	584.36000000	975.82000000	0
1321256	2018-11-22	196	595.51000000	810.98000000	0
729848	2018-11-22	270	3273.37000000	5146.80000000	0
1176808	2018-11-22	342	513.92000000	929.34000000	1
1326535	2018-11-22	270	569.31000000	895.15000000	0
1115460	2018-11-22	262	3566.74000000	5521.61000000	0
1113317	2018-11-22	311	7717.42000000	13140.10000000	0
1301105	2018-11-22	196	1221.42000000	1663.35000000	0
1270279	2018-11-22	325	614.46000000	1075.06000000	0
1164603	2018-11-22	337	424.43000000	760.08000000	0
1024990	2018-11-22	275	1272.21000000	2019.85000000	0
1063296	2018-11-22	280	3219.40000000	5161.22000000	0
1354445	2018-11-22	205	465.82000000	645.55000000	0
1304358	2018-11-22	242	1022.40000000	1522.46000000	0
1026445	2018-11-22	352	621.45000000	1145.82000000	0
673149	2018-11-22	342	2751.62000000	4975.82000000	0
1171258	2018-11-22	321	621.94000000	1079.73000000	0
1303894	2018-11-22	257	413.63000000	634.15000000	0
1026913	2018-11-22	221	1321.94000000	1889.83000000	0
1275587	2018-11-22	191	893.16000000	1204.57000000	0
1353058	2018-11-22	306	515.75000000	869.66000000	0
1304669	2018-11-22	270	775.79000000	1219.79000000	0
1027079	2018-11-22	257	1991.66000000	3053.46000000	0
1301423	2018-11-22	280	1316.46000000	2110.51000000	0
1355915	2018-11-22	201	380.84000000	523.70000000	0
1383628	2018-11-22	235	398.74000000	585.75000000	0
1167480	2018-11-22	285	690.09000000	1117.12000000	0
1038086	2018-11-22	257	1773.58000000	2719.12000000	0
991115	2018-11-22	290	485.65000000	793.85000000	0
1115467	2018-11-22	196	769.17000000	1047.47000000	0
1028534	2018-11-22	211	1080.33000000	1514.71000000	0
1301424	2018-11-22	321	1014.27000000	1760.82000000	0
1385626	2018-11-22	201	570.08000000	783.92000000	0
1394624	2018-11-22	201	1355.37000000	1863.79000000	0
1113932	2018-11-22	301	670.63000000	1119.89000000	0
1275634	2018-11-22	321	765.42000000	1328.80000000	0
1206341	2018-11-22	242	598.92000000	891.85000000	0
1304751	2018-11-22	347	764.54000000	1396.02000000	0
1243739	2018-11-22	280	700.40000000	1122.87000000	0
1201116	2018-11-22	316	2733.15000000	4699.02000000	0
1328577	2018-11-22	316	622.67000000	1070.55000000	0
1103903	2018-11-22	181	1090.80000000	1442.82000000	0
1030306	2018-11-22	226	1356.61000000	1958.30000000	0
1275837	2018-11-22	221	724.57000000	1035.84000000	0
1303041	2018-11-22	226	571.06000000	824.34000000	0
1115499	2018-11-22	242	1645.36000000	2450.10000000	0
867346	2018-11-22	226	2952.27000000	4261.70000000	1
1301506	2018-11-22	191	1259.65000000	1698.84000000	0
1354081	2018-11-22	316	625.57000000	1075.53000000	0
1298700	2018-11-22	242	388.33000000	578.26000000	0
301630	2018-11-22	201	1146.82000000	1577.01000000	0
1064807	2018-11-22	242	1168.67000000	1740.27000000	0
1427749	2018-11-22	257	585.65000000	897.88000000	0
1304955	2018-11-22	242	872.30000000	1298.94000000	0
1029118	2018-11-22	262	1936.62000000	2998.04000000	0
1301573	2018-11-22	306	693.85000000	1169.98000000	0
1356555	2018-11-22	352	585.01000000	1078.64000000	0
1272828	2018-11-22	211	297.97000000	417.78000000	1
1046217	2018-11-22	285	692.67000000	1121.30000000	0
1356201	2018-11-22	262	463.52000000	717.56000000	0
1418672	2018-11-22	196	468.72000000	638.31000000	0
567581	2018-11-22	347	3110.94000000	5680.49000000	1
1030305	2018-11-22	191	2282.81000000	3078.74000000	0
1301959	2018-11-22	257	1119.15000000	1715.79000000	0
1412399	2018-11-22	257	578.70000000	887.21000000	0
1329416	2018-11-22	290	387.78000000	633.85000000	0
1390276	2018-11-22	211	561.78000000	787.65000000	0
1344169	2018-11-22	201	375.72000000	516.65000000	0
1331150	2018-11-22	226	567.42000000	819.08000000	0
1115785	2018-11-22	301	2874.90000000	4800.81000000	0
1065922	2018-11-22	356	1205.88000000	2240.72000000	0
1302524	2018-11-22	242	2055.53000000	3060.89000000	0
1405661	2018-11-22	247	590.60000000	888.03000000	0
1033453	2018-11-22	332	393.12000000	697.22000000	0
1066165	2018-11-22	270	1651.33000000	2596.42000000	0
1299624	2018-11-22	316	501.01000000	861.37000000	0
1161829	2018-11-22	181	3178.69000000	4204.52000000	0
1115803	2018-11-22	242	1474.30000000	2195.38000000	0
1219731	2018-11-22	257	3367.44000000	5162.69000000	0
1302577	2018-11-22	301	944.27000000	1576.84000000	0
593219	2018-11-22	294	4529.27000000	7461.31000000	0
1289257	2018-11-22	226	373.06000000	538.52000000	0
479572	2018-11-22	201	2900.48000000	3988.49000000	0
1297116	2018-11-22	201	376.02000000	517.08000000	0
577200	2018-11-22	196	3818.25000000	5199.79000000	0
1051402	2018-11-22	231	4708.72000000	6863.53000000	0
635749	2018-11-22	316	3264.40000000	5612.39000000	0
1302659	2018-11-22	247	727.15000000	1093.36000000	0
1135907	2018-11-22	196	1568.87000000	2136.52000000	0
1396699	2018-11-22	321	607.94000000	1055.42000000	0
1250197	2018-11-22	226	829.92000000	1198.02000000	0
1288283	2018-11-22	332	1465.06000000	2598.34000000	0
445297	2018-11-22	321	4316.06000000	7492.89000000	0
1305723	2018-11-22	356	1601.16000000	2975.22000000	0
1250234	2018-11-22	226	1649.17000000	2380.63000000	0
1302692	2018-11-22	242	687.33000000	1023.49000000	0
1218306	2018-11-22	191	1582.03000000	2133.63000000	0
1272978	2018-11-22	201	308.10000000	423.67000000	0
1250265	2018-11-22	290	1379.13000000	2254.34000000	0
1023664	2018-11-22	196	379.72000000	517.11000000	1
972952	2018-11-22	191	1577.01000000	2126.85000000	0
1305866	2018-11-22	216	614.17000000	869.52000000	0
1250348	2018-11-22	262	3743.64000000	5795.46000000	0
1302795	2018-11-22	342	1040.24000000	1881.08000000	0
1353635	2018-11-22	231	345.12000000	503.06000000	0
1418459	2018-11-22	226	377.00000000	544.21000000	0
1250548	2018-11-22	285	2109.92000000	3415.55000000	0
1000268	2018-11-22	311	536.65000000	913.73000000	0
1395326	2018-11-22	247	363.13000000	546.02000000	0
1052070	2018-11-22	275	1640.43000000	2604.45000000	0
1187662	2018-11-22	301	671.04000000	1120.58000000	0
725084	2018-11-22	290	2446.63000000	3999.27000000	0
1360498	2018-11-22	231	345.91000000	504.20000000	0
1299417	2018-11-22	231	373.92000000	545.03000000	0
1251170	2018-11-22	321	1363.67000000	2367.40000000	0
1288917	2018-11-22	231	1057.04000000	1540.78000000	0
1127476	2018-11-22	252	360.34000000	547.10000000	0
1305980	2018-11-22	242	676.78000000	1007.79000000	0
1340663	2018-11-22	191	586.00000000	790.31000000	0
1320499	2018-11-22	285	1232.72000000	1995.54000000	0
1262430	2018-11-22	342	363.25000000	656.87000000	0
1145780	2018-11-22	301	386.29000000	645.07000000	1
1251201	2018-11-22	321	1739.12000000	3019.20000000	0
1289060	2018-11-22	290	1195.73000000	1954.55000000	0
1251566	2018-11-22	221	574.09000000	820.71000000	0
1052209	2018-11-22	285	1430.60000000	2315.85000000	0
1251902	2018-11-22	196	1384.39000000	1885.30000000	0
1340136	2018-11-22	270	516.49000000	812.10000000	0
1233768	2018-11-22	306	632.91000000	1067.21000000	0
1300472	2018-11-22	280	404.53000000	648.53000000	1
1309294	2018-11-22	196	590.98000000	804.81000000	0
1289519	2018-11-22	231	747.49000000	1089.56000000	0
1025971	2018-11-22	347	584.51000000	1067.29000000	0
1306048	2018-11-22	301	1135.74000000	1896.58000000	0
1128333	2018-11-22	196	592.79000000	807.27000000	0
1320616	2018-11-22	247	842.99000000	1267.54000000	0
1136868	2018-11-22	316	621.29000000	1068.17000000	0
1436711	2018-11-22	231	261.75000000	381.54000000	0
1253273	2018-11-22	231	806.66000000	1175.81000000	0
1289660	2018-11-22	211	623.24000000	873.83000000	1
720921	2018-11-22	270	566.31000000	890.43000000	0
1052295	2018-11-22	285	2967.92000000	4804.49000000	0
1253341	2018-11-22	201	671.24000000	923.02000000	0
1321135	2018-11-22	280	720.37000000	1154.88000000	0
1341196	2018-11-22	294	590.99000000	973.57000000	0
1434235	2018-11-22	242	277.78000000	413.63000000	0
1253442	2018-11-22	316	675.78000000	1161.84000000	0
1289662	2018-11-22	242	682.01000000	1015.58000000	1
1198772	2018-11-22	252	587.81000000	892.47000000	0
1306141	2018-11-22	257	880.02000000	1349.18000000	0
1253574	2018-11-22	196	1608.90000000	2191.03000000	0
1321150	2018-11-22	321	955.88000000	1659.45000000	0
632863	2018-11-22	332	605.60000000	1074.04000000	0
1400894	2018-11-22	290	276.22000000	451.52000000	0
1254028	2018-11-22	226	2395.79000000	3458.39000000	0
1266732	2018-11-22	201	591.75000000	813.73000000	0
1247286	2018-11-22	337	602.84000000	1079.60000000	0
1306609	2018-11-22	211	2140.75000000	3001.52000000	0
742173	2018-11-22	280	1413.73000000	2266.44000000	0
726856	2018-11-22	252	1391.71000000	2113.03000000	0
658686	2018-11-22	196	3818.90000000	5200.67000000	0
1326276	2018-11-22	270	618.09000000	971.84000000	0
203579	2018-11-22	216	3018.10000000	4272.92000000	0
1289828	2018-11-22	347	2906.17000000	5306.58000000	0
933423	2018-11-22	257	4622.49000000	7086.84000000	0
1306809	2018-11-22	247	1512.09000000	2273.63000000	0
1263637	2018-11-22	270	2147.66000000	3376.82000000	0
727292	2018-11-22	205	2420.84000000	3354.90000000	0
1276982	2018-11-22	196	1567.53000000	2134.70000000	0
1226449	2018-11-22	257	639.46000000	980.37000000	0
1264187	2018-11-22	316	2497.34000000	4293.61000000	0
1251615	2018-11-22	203	593.54000000	819.36000000	0
1218218	2018-11-22	201	1546.94000000	2127.22000000	0
1293920	2018-11-22	337	2124.16000000	3804.04000000	0
1264455	2018-11-22	332	975.36000000	1729.84000000	0
727443	2018-11-22	301	752.13000000	1255.99000000	0
1420710	2018-11-22	242	365.09000000	543.65000000	0
1413111	2018-11-22	247	277.97000000	417.96000000	0
1264473	2018-11-22	290	1572.21000000	2569.94000000	0
1290489	2018-11-22	242	779.60000000	1160.90000000	0
1452096	2018-11-22	205	282.51000000	391.51000000	0
1294019	2018-11-22	226	937.97000000	1353.99000000	0
1063625	2018-11-22	221	1200.20000000	1715.79000000	0
727509	2018-11-22	285	3777.12000000	6114.44000000	0
1315052	2018-11-22	332	368.07000000	652.79000000	0
1322982	2018-11-22	311	294.76000000	501.88000000	0
1063718	2018-11-22	242	3254.98000000	4846.98000000	0
1290564	2018-11-22	231	1031.66000000	1503.78000000	0
1310170	2018-11-22	231	344.80000000	502.58000000	0
1294470	2018-11-22	301	2592.20000000	4328.73000000	0
241512	2018-11-22	316	4672.34000000	8033.02000000	0
727609	2018-11-22	266	1163.71000000	1815.56000000	0
1382302	2018-11-22	285	367.55000000	594.99000000	0
1378221	2018-11-22	231	383.69000000	559.27000000	0
750469	2018-11-22	211	577.96000000	810.34000000	0
1290589	2018-11-22	196	977.65000000	1331.39000000	0
1392681	2018-11-22	201	285.61000000	392.74000000	0
1294620	2018-11-22	270	705.24000000	1108.87000000	0
1032573	2018-11-22	342	2813.24000000	5087.25000000	0
728226	2018-11-22	294	939.09000000	1547.01000000	0
1298789	2018-11-22	332	369.75000000	655.78000000	0
1225830	2018-11-22	321	630.62000000	1094.79000000	0
1386770	2018-11-22	201	594.04000000	816.88000000	0
471174	2018-11-22	294	1470.84000000	2423.00000000	0
1215093	2018-11-22	196	470.76000000	641.10000000	0
1115758	2018-11-22	352	3916.96000000	7222.04000000	0
1033216	2018-11-22	257	1294.66000000	1984.88000000	0
728345	2018-11-22	221	775.22000000	1108.25000000	0
1347925	2018-11-22	316	351.78000000	604.80000000	0
1267792	2018-11-22	316	423.93000000	728.85000000	0
1033234	2018-11-22	275	1183.92000000	1879.67000000	0
463335	2018-11-22	201	604.30000000	830.99000000	0
1291920	2018-11-22	201	295.54000000	406.40000000	0
892750	2018-11-22	285	3151.85000000	5102.25000000	1
1033527	2018-11-22	311	2919.25000000	4970.47000000	0
669737	2018-11-22	316	961.62000000	1653.28000000	0
1298006	2018-11-22	201	377.30000000	518.83000000	0
1266949	2018-11-22	311	644.65000000	1097.62000000	0
1308379	2018-11-22	201	599.97000000	825.02000000	0
480064	2018-11-22	311	1552.13000000	2642.75000000	0
1382019	2018-11-22	211	370.04000000	518.83000000	0
1305221	2018-11-22	332	1442.42000000	2558.18000000	0
1033534	2018-11-22	252	1842.42000000	2797.35000000	0
670648	2018-11-22	332	914.22000000	1621.42000000	0
1296670	2018-11-22	242	484.31000000	721.19000000	1
1331543	2018-11-22	257	289.89000000	444.44000000	0
1393847	2018-11-22	211	593.01000000	831.45000000	0
482034	2018-11-22	252	772.97000000	1173.60000000	1
826197	2018-11-22	321	611.04000000	1060.81000000	0
1305696	2018-11-22	332	2279.81000000	4043.34000000	0
1403014	2018-11-22	211	593.35000000	831.92000000	0
673483	2018-11-22	231	3707.06000000	5403.48000000	0
1377005	2018-11-22	226	566.15000000	817.25000000	0
1281975	2018-11-22	301	290.55000000	485.19000000	0
1293378	2018-11-22	211	596.31000000	836.08000000	0
484574	2018-11-22	352	1500.75000000	2767.08000000	0
1329375	2018-11-22	301	578.39000000	965.87000000	0
1305882	2018-11-22	231	1167.00000000	1701.04000000	0
1035413	2018-11-22	332	786.31000000	1394.56000000	0
674583	2018-11-22	321	1966.76000000	3414.40000000	0
1223519	2018-11-22	191	4059.55000000	5474.97000000	0
1271861	2018-11-22	235	304.89000000	447.88000000	0
1322283	2018-11-22	201	610.09000000	838.94000000	0
489237	2018-11-22	257	1126.45000000	1726.98000000	0
703227	2018-11-22	347	4744.04000000	8662.49000000	0
1306032	2018-11-22	332	880.29000000	1561.24000000	0
940228	2018-11-22	332	517.12000000	917.13000000	0
674685	2018-11-22	321	1026.22000000	1781.57000000	0
345879	2018-11-22	205	3760.02000000	5210.79000000	0
1350738	2018-11-22	257	317.02000000	486.03000000	0
910048	2018-11-22	301	499.42000000	833.98000000	0
490811	2018-11-22	316	913.19000000	1570.02000000	0
1239631	2018-11-22	311	506.71000000	862.75000000	0
1052261	2018-11-22	231	885.15000000	1290.20000000	0
1037103	2018-11-22	316	1751.09000000	3010.60000000	0
675260	2018-11-22	275	3343.60000000	5308.52000000	0
1205112	2018-11-22	270	458.37000000	720.71000000	0
1159085	2018-11-22	270	395.28000000	621.51000000	0
1037846	2018-11-22	201	2383.03000000	3276.94000000	0
1338531	2018-11-22	242	513.06000000	763.99000000	0
1418923	2018-11-22	226	461.85000000	666.70000000	0
1306593	2018-11-22	321	1276.60000000	2216.24000000	0
1377685	2018-11-22	247	510.07000000	766.96000000	0
1279816	2018-11-22	201	2194.61000000	3017.83000000	0
1332728	2018-11-22	311	624.55000000	1063.39000000	0
1466704	2018-11-22	203	324.35000000	447.75000000	0
1198343	2018-11-22	280	522.29000000	837.31000000	0
494702	2018-11-22	280	1327.82000000	2128.71000000	0
1410733	2018-11-22	191	473.92000000	639.16000000	0
1052354	2018-11-22	242	1286.82000000	1916.20000000	0
1431015	2018-11-22	205	399.13000000	553.13000000	0
675362	2018-11-22	285	2784.12000000	4506.96000000	0
1041525	2018-11-22	196	3907.66000000	5321.55000000	0
913849	2018-11-22	316	434.54000000	747.09000000	0
1064611	2018-11-22	332	1464.75000000	2597.80000000	0
1255922	2018-11-22	231	483.97000000	705.44000000	0
691563	2018-11-22	201	3869.60000000	5321.13000000	0
1052379	2018-11-22	266	6114.80000000	9540.04000000	0
1065036	2018-11-22	242	953.76000000	1420.25000000	0
463607	2018-11-22	201	2190.01000000	3011.52000000	0
841943	2018-11-22	235	1771.38000000	2602.15000000	0
1335412	2018-11-22	191	332.62000000	448.58000000	0
1030806	2018-11-22	231	1376.73000000	2006.75000000	0
1063254	2018-11-22	337	917.00000000	1642.20000000	0
1075551	2018-11-22	191	1570.52000000	2118.10000000	0
1053322	2018-11-22	316	957.00000000	1645.35000000	0
1030991	2018-11-22	211	1663.40000000	2332.24000000	1
1192071	2018-11-22	196	2193.60000000	2987.29000000	0
1313278	2018-11-22	270	345.94000000	543.93000000	0
1312330	2018-11-22	242	418.43000000	623.08000000	0
1031089	2018-11-22	316	1094.00000000	1880.89000000	0
1063722	2018-11-22	321	2225.33000000	3863.28000000	0
1207654	2018-11-22	352	354.13000000	652.96000000	0
1308004	2018-11-22	321	1027.42000000	1783.64000000	0
627108	2018-11-22	352	1389.24000000	2561.46000000	0
1332168	2018-11-22	257	768.70000000	1178.51000000	0
1277135	2018-11-22	337	365.02000000	653.70000000	1
1338379	2018-11-22	216	281.35000000	398.33000000	0
633691	2018-11-22	196	1182.08000000	1609.79000000	0
1062768	2018-11-22	316	710.65000000	1221.81000000	0
1353911	2018-11-22	226	569.08000000	821.48000000	0
1053658	2018-11-22	226	1396.39000000	2015.74000000	0
1030315	2018-11-22	325	1175.62000000	2056.85000000	0
748104	2018-11-22	280	3621.56000000	5805.96000000	0
1102564	2018-11-22	352	579.53000000	1068.53000000	0
1383253	2018-11-22	275	296.90000000	471.38000000	0
1030380	2018-11-22	290	1436.72000000	2348.47000000	0
1062785	2018-11-22	211	1041.75000000	1460.63000000	0
1243252	2018-11-22	196	470.94000000	641.35000000	0
1308047	2018-11-22	301	733.65000000	1225.12000000	0
1030679	2018-11-22	280	2525.45000000	4048.71000000	0
1333022	2018-11-22	252	757.12000000	1149.54000000	0
554028	2018-11-22	235	560.06000000	822.72000000	0
1357320	2018-11-22	347	284.17000000	518.89000000	0
1030965	2018-11-22	242	1875.51000000	2792.81000000	0
1062836	2018-11-22	211	1881.97000000	2638.67000000	0
1322525	2018-11-22	301	582.36000000	972.48000000	0
1054008	2018-11-22	196	847.81000000	1154.56000000	0
1058459	2018-11-22	316	2388.82000000	4107.03000000	0
276753	2018-11-22	262	6385.81000000	9885.75000000	0
1382418	2018-11-22	201	377.82000000	519.55000000	0
765450	2018-11-22	275	297.20000000	471.85000000	0
818499	2018-11-22	196	2934.57000000	3996.37000000	0
1063053	2018-11-22	347	1481.22000000	2704.67000000	0
1298941	2018-11-22	191	472.20000000	636.84000000	0
1308272	2018-11-22	262	1185.42000000	1835.12000000	0
1058559	2018-11-22	301	1364.47000000	2278.54000000	0
991534	2018-11-22	211	427.00000000	598.69000000	0
1321654	2018-11-22	321	611.39000000	1061.40000000	0
1225621	2018-11-22	270	275.56000000	433.27000000	0
1103916	2018-11-22	191	2961.67000000	3994.30000000	0
1047227	2018-11-22	290	7833.34000000	12804.42000000	0
716243	2018-11-22	290	592.92000000	969.19000000	0
1054072	2018-11-22	226	3723.20000000	5374.57000000	0
1058574	2018-11-22	226	1490.27000000	2151.26000000	0
868809	2018-11-22	347	2648.87000000	4836.75000000	0
514908	2018-11-22	226	4607.79000000	6651.49000000	0
1387497	2018-11-22	290	290.08000000	474.17000000	0
1321033	2018-11-22	196	373.07000000	508.06000000	0
1032601	2018-11-22	221	2473.47000000	3536.03000000	0
570296	2018-11-22	191	9980.21000000	13459.94000000	0
663622	2018-11-22	242	1317.07000000	1961.25000000	0
1051061	2018-11-22	226	453.39000000	654.48000000	0
729062	2018-11-22	347	2546.33000000	4649.52000000	0
764845	2018-11-22	270	4509.80000000	7090.87000000	0
1388072	2018-11-22	285	293.24000000	474.70000000	0
1349281	2018-11-22	257	462.83000000	709.57000000	0
1033138	2018-11-22	316	1493.22000000	2567.26000000	0
1233963	2018-11-22	325	1856.81000000	3248.65000000	0
664047	2018-11-22	325	1708.18000000	2988.62000000	0
1404329	2018-11-22	205	368.80000000	511.09000000	0
731353	2018-11-22	275	730.31000000	1159.49000000	0
940878	2018-11-22	275	4499.19000000	7143.22000000	0
1206251	2018-11-22	321	301.16000000	522.82000000	0
1418718	2018-11-22	211	366.13000000	513.35000000	0
1033169	2018-11-22	347	1996.73000000	3645.98000000	0
1351519	2018-11-22	221	352.40000000	503.79000000	0
1308804	2018-11-22	196	784.67000000	1068.58000000	0
1134893	2018-11-22	332	484.07000000	858.52000000	0
455061	2018-11-22	191	2490.00000000	3358.17000000	0
1415776	2018-11-22	242	367.57000000	547.35000000	0
1207969	2018-11-22	294	289.78000000	477.36000000	0
313743	2018-11-22	211	1150.30000000	1612.82000000	0
1033220	2018-11-22	226	2524.74000000	3644.55000000	0
1237641	2018-11-22	342	589.94000000	1066.81000000	0
666094	2018-11-22	221	3724.38000000	5324.31000000	0
939038	2018-11-22	226	3007.71000000	4341.73000000	0
734127	2018-11-22	301	1335.98000000	2230.96000000	0
352396	2018-11-22	321	615.19000000	1068.00000000	0
1342998	2018-11-22	321	620.38000000	1077.01000000	0
1188988	2018-11-22	321	1410.28000000	2448.31000000	0
1331857	2018-11-22	262	462.80000000	716.45000000	0
1298190	2018-11-22	285	599.88000000	971.09000000	0
1054265	2018-11-22	316	1660.49000000	2854.84000000	0
1025023	2018-11-22	290	1399.07000000	2286.92000000	0
1053301	2018-11-22	306	3016.63000000	5086.64000000	0
1230421	2018-11-22	196	470.96000000	641.36000000	0
1299339	2018-11-22	211	306.55000000	429.81000000	0
1025293	2018-11-22	211	1475.02000000	2068.10000000	0
1223494	2018-11-22	196	378.80000000	515.85000000	0
1023187	2018-11-22	252	587.02000000	891.28000000	0
1308972	2018-11-22	235	669.84000000	983.99000000	0
1025757	2018-11-22	301	791.83000000	1322.28000000	0
1011672	2018-11-22	301	6650.42000000	11105.56000000	0
1191762	2018-11-22	275	612.97000000	973.19000000	0
1284781	2018-11-22	311	632.90000000	1077.61000000	0
1026612	2018-11-22	221	1164.55000000	1664.82000000	0
1033387	2018-11-22	347	1972.76000000	3602.21000000	0
1343514	2018-11-22	321	617.57000000	1072.13000000	0
666394	2018-11-22	221	1744.84000000	2494.39000000	0
1028033	2018-11-22	270	2228.57000000	3504.04000000	0
1108985	2018-11-22	196	2428.62000000	3307.35000000	0
1196025	2018-11-22	257	583.08000000	893.93000000	0
997872	2018-11-22	347	392.38000000	716.48000000	0
1028448	2018-11-22	316	1790.24000000	3077.90000000	0
1364295	2018-11-22	285	483.18000000	782.18000000	0
1225741	2018-11-22	226	571.74000000	825.33000000	0
1309501	2018-11-22	226	1409.89000000	2035.22000000	0
526460	2018-11-22	316	3244.72000000	5578.55000000	0
1321371	2018-11-22	247	1385.17000000	2082.79000000	0
1295784	2018-11-22	285	603.20000000	976.47000000	0
1348546	2018-11-22	316	417.58000000	717.94000000	0
1225962	2018-11-22	347	1383.81000000	2526.80000000	0
1301088	2018-11-22	306	510.52000000	860.83000000	0
1265651	2018-11-22	290	598.93000000	979.02000000	0
667530	2018-11-22	191	942.09000000	1270.56000000	0
1209039	2018-11-22	196	1165.31000000	1586.96000000	0
1321384	2018-11-22	290	751.18000000	1227.89000000	0
1404846	2018-11-22	242	603.39000000	898.52000000	0
1232512	2018-11-22	290	399.52000000	653.06000000	0
1228968	2018-11-22	294	681.98000000	1123.46000000	0
1385420	2018-11-22	211	391.09000000	548.34000000	0
1399251	2018-11-22	316	368.76000000	634.01000000	0
1309551	2018-11-22	257	677.72000000	1039.02000000	0
456827	2018-11-22	301	1283.22000000	2142.87000000	0
1321503	2018-11-22	306	891.07000000	1502.52000000	0
774637	2018-11-22	306	376.08000000	634.15000000	0
1353212	2018-11-22	257	390.70000000	598.99000000	0
457688	2018-11-22	257	1339.21000000	2053.18000000	0
1051689	2018-11-22	221	520.90000000	744.66000000	1
1322556	2018-11-22	275	363.21000000	576.66000000	0
1294738	2018-11-22	337	820.96000000	1470.20000000	0
919006	2018-11-22	196	580.45000000	790.47000000	0
1321652	2018-11-22	337	984.82000000	1763.66000000	0
1299475	2018-11-22	257	472.67000000	724.66000000	0
1369488	2018-11-22	226	383.75000000	553.96000000	0
