ID_CONTA	DT_ACORDO	QTD_PARCELAMENTO_3M	QTD_PARCELAMENTO_6M	QTD_PARCELAMENTO_12M
732851	2018-11-22	0	0	0
1328394	2018-11-22	0	0	0
1447659	2018-11-22	0	0	0
1277513	2018-11-22	0	0	1
1219585	2018-11-22	0	0	0
1303949	2018-11-22	0	0	0
1318250	2018-11-22	0	0	0
1292067	2018-11-22	0	0	0
1180502	2018-11-22	0	0	0
818203	2018-11-22	0	0	0
1207646	2018-11-22	0	0	0
1356618	2018-11-22	0	0	0
1348255	2018-11-22	0	0	0
678769	2018-11-22	1	1	1
677126	2018-11-22	1	1	1
660110	2018-11-22	0	0	0
1226891	2018-11-22	0	0	0
1042826	2018-11-22	0	0	0
1161911	2018-11-22	0	0	0
1324641	2018-11-22	0	0	0
1324027	2018-11-22	2	2	2
1348442	2018-11-22	0	0	0
1129561	2018-11-22	0	0	0
1253099	2018-11-22	0	0	0
1340941	2018-11-22	1	1	1
1391345	2018-11-22	0	0	0
1352773	2018-11-22	0	0	0
1163186	2018-11-22	0	0	0
601714	2018-11-22	0	0	0
1337079	2018-11-22	0	0	0
818844	2018-11-22	0	0	1
1432473	2018-11-22	0	0	0
1240028	2018-11-22	0	0	0
1376436	2018-11-22	0	0	0
1447045	2018-11-22	0	0	0
524551	2018-11-22	0	0	0
1321820	2018-11-22	0	0	0
1189275	2018-11-22	0	0	0
1438574	2018-11-22	0	0	0
1369486	2018-11-22	0	0	0
1308920	2018-11-22	1	1	1
1423966	2018-11-22	0	0	0
1072221	2018-11-22	0	0	0
1234197	2018-11-22	0	0	0
1316153	2018-11-22	0	0	0
1014445	2018-11-22	0	0	0
1279924	2018-11-22	0	0	0
1411067	2018-11-22	0	0	0
1381332	2018-11-22	0	0	0
1429915	2018-11-22	0	0	0
1264263	2018-11-22	0	0	0
1247081	2018-11-22	0	0	0
1414058	2018-11-22	0	0	0
1419680	2018-11-22	0	0	0
1346680	2018-11-22	0	0	0
1341582	2018-11-22	0	0	0
1312437	2018-11-22	0	0	0
1131674	2018-11-22	0	0	0
1337369	2018-11-22	0	0	0
1419868	2018-11-22	0	0	0
1092572	2018-11-22	0	0	0
1348597	2018-11-22	1	1	1
1308957	2018-11-22	1	1	1
901214	2018-11-22	0	0	0
1311197	2018-11-22	0	0	0
972067	2018-11-22	0	0	0
1309412	2018-11-22	0	0	0
1091280	2018-11-22	0	0	0
1389749	2018-11-22	0	0	0
1435023	2018-11-22	0	0	0
1282118	2018-11-22	0	0	0
1135568	2018-11-22	0	0	0
1277860	2018-11-22	0	0	0
1407248	2018-11-22	0	0	0
1262934	2018-11-22	0	1	1
1240823	2018-11-22	1	1	1
1295590	2018-11-22	0	0	0
1164397	2018-11-22	0	0	0
1346697	2018-11-22	0	0	0
1281953	2018-11-22	1	1	1
1422573	2018-11-22	0	0	0
1173840	2018-11-22	1	2	2
285221	2018-11-22	1	1	2
290869	2018-11-22	0	0	0
701110	2018-11-22	1	2	2
1025384	2018-11-22	0	0	0
130532	2018-11-22	0	0	0
1251653	2018-11-22	1	2	2
1329516	2018-11-22	0	0	0
1300736	2018-11-22	0	0	0
1000533	2018-11-22	0	0	0
1318905	2018-11-22	2	2	2
1337745	2018-11-22	0	0	0
1271236	2018-11-22	0	0	0
1279206	2018-11-22	0	0	0
309636	2018-11-22	0	0	0
249861	2018-11-22	0	0	0
1259454	2018-11-22	0	0	0
1453300	2018-11-22	0	0	0
1254556	2018-11-22	0	0	0
1453286	2018-11-22	0	0	0
1433648	2018-11-22	0	0	0
1382983	2018-11-22	0	0	0
531551	2018-11-22	0	0	0
897226	2018-11-22	0	1	1
1238328	2018-11-22	1	2	2
1076738	2018-11-22	0	0	0
1318205	2018-11-22	0	0	0
1422243	2018-11-22	0	0	0
1256119	2018-11-22	0	0	0
1348757	2018-11-22	0	0	0
1321388	2018-11-22	0	1	1
1245609	2018-11-22	1	2	2
1399186	2018-11-22	0	0	0
1337275	2018-11-22	0	0	0
1321674	2018-11-22	0	0	0
1007528	2018-11-22	0	0	0
1332327	2018-11-22	0	0	0
763778	2018-11-22	2	2	2
553738	2018-11-22	0	0	0
1213210	2018-11-22	0	0	0
1110044	2018-11-22	0	0	0
1331073	2018-11-22	2	2	2
1165789	2018-11-22	0	0	0
1238782	2018-11-22	0	1	1
1317948	2018-11-22	0	0	0
1418224	2018-11-22	0	0	0
1326395	2018-11-22	0	0	0
626175	2018-11-22	0	0	0
625025	2018-11-22	0	0	0
903839	2018-11-22	0	0	0
1388231	2018-11-22	0	0	0
1299712	2018-11-22	0	0	1
1389617	2018-11-22	0	0	0
1456737	2018-11-22	0	0	0
1133217	2018-11-22	2	2	2
315927	2018-11-22	1	1	2
1225844	2018-11-22	1	1	2
1437771	2018-11-22	0	0	0
1308385	2018-11-22	0	0	0
1284519	2018-11-22	0	0	0
250015	2018-11-22	2	2	2
1226225	2018-11-22	0	0	0
1422529	2018-11-22	0	0	0
1347189	2018-11-22	0	0	0
1177410	2018-11-22	0	0	0
1379094	2018-11-22	0	0	0
1375803	2018-11-22	0	0	0
1337680	2018-11-22	0	0	0
803918	2018-11-22	2	4	4
1145354	2018-11-22	1	1	1
1053838	2018-11-22	0	0	0
1369000	2018-11-22	0	0	0
1338952	2018-11-22	0	0	0
1301246	2018-11-22	0	0	0
1388571	2018-11-22	0	0	0
568923	2018-11-22	0	0	0
1259130	2018-11-22	0	0	0
971695	2018-11-22	0	0	0
1406904	2018-11-22	0	0	0
642697	2018-11-22	0	0	0
1308055	2018-11-22	0	0	0
1263185	2018-11-22	0	0	1
1116332	2018-11-22	1	1	1
684366	2018-11-22	0	1	1
1309346	2018-11-22	0	0	0
1331255	2018-11-22	0	0	0
1231730	2018-11-22	0	0	0
1310181	2018-11-22	0	0	0
1285260	2018-11-22	0	1	1
654435	2018-11-22	0	0	0
179031	2018-11-22	0	0	0
1097897	2018-11-22	0	0	0
980827	2018-11-22	0	0	0
1405341	2018-11-22	0	0	0
1425579	2018-11-22	0	0	0
1083526	2018-11-22	0	0	0
992295	2018-11-22	0	0	0
1357731	2018-11-22	0	0	0
1401369	2018-11-22	0	0	0
748620	2018-11-22	0	0	0
1402755	2018-11-22	0	0	0
990852	2018-11-22	0	0	0
934396	2018-11-22	0	0	0
1391423	2018-11-22	0	0	0
1375465	2018-11-22	0	0	0
1400833	2018-11-22	0	0	0
1051995	2018-11-22	0	0	0
666914	2018-11-22	2	3	3
1120747	2018-11-22	0	0	0
437443	2018-11-22	1	2	2
749881	2018-11-22	2	2	2
1002891	2018-11-22	0	0	0
1242040	2018-11-22	1	1	1
958989	2018-11-22	0	0	0
584322	2018-11-22	0	0	0
1224029	2018-11-22	0	0	2
1218778	2018-11-22	1	2	3
1290091	2018-11-22	0	0	0
1287366	2018-11-22	1	2	3
1047913	2018-11-22	0	0	0
462977	2018-11-22	0	0	0
1350105	2018-11-22	0	0	0
1188948	2018-11-22	1	1	2
1415635	2018-11-22	0	0	0
1346362	2018-11-22	0	0	0
1031884	2018-11-22	0	0	1
1368634	2018-11-22	0	0	0
1154561	2018-11-22	0	0	0
1414024	2018-11-22	0	0	0
1397008	2018-11-22	0	0	0
1403045	2018-11-22	0	0	0
1368717	2018-11-22	0	0	0
1308766	2018-11-22	0	0	0
1318160	2018-11-22	0	1	1
1215544	2018-11-22	1	1	1
1290801	2018-11-22	0	0	0
1320134	2018-11-22	0	0	0
1256122	2018-11-22	0	0	0
1429364	2018-11-22	1	1	1
1403577	2018-11-22	1	1	1
1247132	2018-11-22	0	0	0
494919	2018-11-22	1	1	1
743803	2018-11-22	0	0	0
370364	2018-11-22	1	1	1
1142897	2018-11-22	1	1	1
1107550	2018-11-22	2	2	2
1220124	2018-11-22	0	0	2
783045	2018-11-22	0	0	0
1289533	2018-11-22	0	0	0
1316522	2018-11-22	0	0	0
970291	2018-11-22	1	1	1
1420640	2018-11-22	0	0	0
1400005	2018-11-22	0	0	0
421423	2018-11-22	0	0	0
1128827	2018-11-22	0	0	0
1161528	2018-11-22	0	0	0
1394559	2018-11-22	0	0	0
1377545	2018-11-22	0	0	0
1322734	2018-11-22	0	0	0
1183881	2018-11-22	0	0	0
1330488	2018-11-22	0	0	0
705435	2018-11-22	0	0	0
1292543	2018-11-22	0	0	0
1256288	2018-11-22	0	1	1
1411112	2018-11-22	0	0	0
1337510	2018-11-22	0	0	0
1302839	2018-11-22	0	0	0
168204	2018-11-22	1	1	1
889680	2018-11-22	1	1	2
962750	2018-11-22	1	1	2
1284362	2018-11-22	0	1	2
1382464	2018-11-22	0	0	0
843011	2018-11-22	0	0	0
1401311	2018-11-22	0	0	0
341139	2018-11-22	0	0	0
1405094	2018-11-22	0	0	0
1418296	2018-11-22	0	0	0
442980	2018-11-22	1	2	2
834052	2018-11-22	0	0	0
1302249	2018-11-22	0	1	1
1342425	2018-11-22	0	0	0
1113582	2018-11-22	0	0	0
500083	2018-11-22	0	0	2
1196512	2018-11-22	0	0	0
1320282	2018-11-22	0	1	1
1387232	2018-11-22	0	0	0
1430669	2018-11-22	0	0	0
1310556	2018-11-22	0	0	0
1385143	2018-11-22	0	0	0
1344282	2018-11-22	0	0	0
1250592	2018-11-22	0	1	1
1265598	2018-11-22	0	0	0
1159725	2018-11-22	0	0	0
1268642	2018-11-22	2	2	2
1251777	2018-11-22	1	1	1
1087027	2018-11-22	1	1	1
1024306	2018-11-22	1	1	1
113274	2018-11-22	1	1	1
1209327	2018-11-22	0	0	1
539525	2018-11-22	0	0	0
1304664	2018-11-22	0	0	0
786529	2018-11-22	0	0	0
1392825	2018-11-22	0	0	0
1355353	2018-11-22	1	1	1
1317585	2018-11-22	0	0	0
1172117	2018-11-22	0	0	0
1412209	2018-11-22	0	0	0
1151144	2018-11-22	0	0	0
1302860	2018-11-22	0	0	0
941736	2018-11-22	1	1	1
1273588	2018-11-22	0	0	0
892395	2018-11-22	0	0	0
1335307	2018-11-22	0	0	0
671087	2018-11-22	0	1	1
919082	2018-11-22	0	0	1
1377625	2018-11-22	0	0	0
1104173	2018-11-22	0	1	1
1115637	2018-11-22	0	0	0
1375202	2018-11-22	0	0	0
1317908	2018-11-22	0	0	0
1387551	2018-11-22	0	0	0
1422564	2018-11-22	0	0	0
1241117	2018-11-22	0	0	0
1390006	2018-11-22	0	0	0
1155432	2018-11-22	1	1	1
1414040	2018-11-22	0	0	0
1397596	2018-11-22	0	0	0
851600	2018-11-22	0	0	0
1348294	2018-11-22	0	0	0
1356180	2018-11-22	0	0	0
1004599	2018-11-22	0	0	0
1279870	2018-11-22	0	0	0
192894	2018-11-22	0	0	0
1311107	2018-11-22	0	0	0
1079351	2018-11-22	0	2	2
1342925	2018-11-22	0	0	0
1378228	2018-11-22	0	0	0
1345922	2018-11-22	0	0	0
1405061	2018-11-22	0	0	0
1246818	2018-11-22	0	0	0
1428250	2018-11-22	1	1	1
1146203	2018-11-22	0	0	0
1433566	2018-11-22	0	0	0
1311530	2018-11-22	0	0	0
1430465	2018-11-22	0	0	0
1436917	2018-11-22	0	0	0
1269039	2018-11-22	0	0	0
745271	2018-11-22	0	0	0
1107831	2018-11-22	0	0	0
1340567	2018-11-22	0	0	0
1352810	2018-11-22	0	0	0
1274269	2018-11-22	0	0	1
834686	2018-11-22	0	0	0
1425053	2018-11-22	0	0	0
1432358	2018-11-22	0	0	0
1336275	2018-11-22	1	1	1
1045732	2018-11-22	0	0	0
1397694	2018-11-22	0	0	0
1367514	2018-11-22	0	0	0
1406284	2018-11-22	0	0	0
1356031	2018-11-22	2	2	2
1345818	2018-11-22	0	0	0
1327570	2018-11-22	0	0	0
1440814	2018-11-22	0	0	0
1342325	2018-11-22	0	1	1
607581	2018-11-22	0	0	0
1407673	2018-11-22	0	0	0
1057310	2018-11-22	2	2	2
754612	2018-11-22	0	0	0
773021	2018-11-22	0	0	0
964243	2018-11-22	0	0	0
712553	2018-11-22	0	0	0
1303441	2018-11-22	1	1	1
1353109	2018-11-22	0	0	0
629227	2018-11-22	0	0	0
917449	2018-11-22	0	0	0
1138362	2018-11-22	1	2	2
1391860	2018-11-22	0	0	0
1301510	2018-11-22	0	0	0
1287363	2018-11-22	0	0	0
1388216	2018-11-22	1	1	1
334326	2018-11-22	1	1	1
878620	2018-11-22	0	0	1
593168	2018-11-22	0	0	0
1376609	2018-11-22	1	1	1
969661	2018-11-22	0	0	2
1103659	2018-11-22	0	0	0
966185	2018-11-22	0	0	0
1399771	2018-11-22	0	0	0
1187989	2018-11-22	0	0	0
1401350	2018-11-22	0	0	0
1336289	2018-11-22	0	0	0
1319377	2018-11-22	1	1	1
1396146	2018-11-22	0	0	0
1239014	2018-11-22	0	0	0
1328876	2018-11-22	0	0	0
1328794	2018-11-22	1	1	1
1309217	2018-11-22	1	1	1
1420746	2018-11-22	0	0	0
1394567	2018-11-22	0	0	0
1131413	2018-11-22	0	1	1
1386377	2018-11-22	0	0	0
1206692	2018-11-22	0	0	2
1368729	2018-11-22	0	0	0
1370297	2018-11-22	0	0	0
1379071	2018-11-22	0	0	0
1226194	2018-11-22	0	0	0
1182324	2018-11-22	0	0	0
1293796	2018-11-22	1	1	1
1342366	2018-11-22	0	0	0
1160809	2018-11-22	0	0	0
1273599	2018-11-22	0	0	0
1281398	2018-11-22	0	0	0
1229772	2018-11-22	0	0	0
786106	2018-11-22	0	1	1
675652	2018-11-22	1	2	2
1318873	2018-11-22	0	0	0
1424747	2018-11-22	0	0	0
1277304	2018-11-22	0	0	0
1435125	2018-11-22	0	0	0
1154982	2018-11-22	0	0	0
1345513	2018-11-22	1	1	1
1247720	2018-11-22	0	0	0
747268	2018-11-22	2	2	3
1305557	2018-11-22	0	0	0
1145481	2018-11-22	1	1	1
1386091	2018-11-22	0	0	0
1262694	2018-11-22	0	0	0
595484	2018-11-22	0	0	0
1393604	2018-11-22	1	1	1
1136861	2018-11-22	0	0	0
1426403	2018-11-22	0	0	0
1292571	2018-11-22	1	1	1
1369679	2018-11-22	0	0	0
1379207	2018-11-22	0	0	0
1345840	2018-11-22	0	0	0
1412942	2018-11-22	0	0	0
728859	2018-11-22	0	0	0
1231785	2018-11-22	0	0	0
1251709	2018-11-22	0	0	0
1125204	2018-11-22	0	0	0
1245357	2018-11-22	0	0	0
1307303	2018-11-22	1	2	2
993741	2018-11-22	0	0	0
1337683	2018-11-22	0	0	0
1295778	2018-11-22	1	1	1
1320003	2018-11-22	0	0	0
1190020	2018-11-22	1	2	2
1356610	2018-11-22	1	1	1
1323413	2018-11-22	0	0	0
519184	2018-11-22	0	0	0
1414806	2018-11-22	0	0	0
1314053	2018-11-22	0	0	0
1361717	2018-11-22	0	0	0
905067	2018-11-22	0	0	0
805700	2018-11-22	1	1	1
1385626	2018-11-22	0	0	0
996351	2018-11-22	2	3	3
1332812	2018-11-22	0	0	0
609224	2018-11-22	0	0	0
149317	2018-11-22	0	0	0
1280064	2018-11-22	0	0	0
725243	2018-11-22	0	0	0
1438667	2018-11-22	0	0	0
1323901	2018-11-22	0	0	0
977186	2018-11-22	0	0	0
1254309	2018-11-22	0	0	0
1197872	2018-11-22	0	0	0
1295072	2018-11-22	0	0	0
931176	2018-11-22	0	0	0
541004	2018-11-22	1	2	2
1266845	2018-11-22	1	2	2
899906	2018-11-22	1	1	1
1005762	2018-11-22	0	0	0
1287101	2018-11-22	0	0	0
1351328	2018-11-22	0	0	0
1321847	2018-11-22	0	0	0
1275084	2018-11-22	0	1	1
1350223	2018-11-22	0	0	0
1068095	2018-11-22	0	0	0
1370000	2018-11-22	0	0	0
1354683	2018-11-22	0	0	0
1287231	2018-11-22	0	0	0
1335929	2018-11-22	0	1	1
1355853	2018-11-22	1	1	1
775997	2018-11-22	0	0	0
1387205	2018-11-22	0	0	0
1197860	2018-11-22	0	0	0
1294222	2018-11-22	0	0	0
1291148	2018-11-22	0	0	0
1196454	2018-11-22	0	0	0
1283526	2018-11-22	0	0	0
1355526	2018-11-22	0	0	0
1334968	2018-11-22	0	0	0
1399680	2018-11-22	0	0	0
1446306	2018-11-22	0	0	0
1349106	2018-11-22	0	0	0
1385540	2018-11-22	0	0	0
1412809	2018-11-22	0	0	0
1321764	2018-11-22	0	0	0
1384563	2018-11-22	0	0	0
1322568	2018-11-22	0	0	0
1297968	2018-11-22	1	2	2
718437	2018-11-22	0	0	0
668669	2018-11-22	0	0	0
888178	2018-11-22	0	0	0
613817	2018-11-22	0	0	1
1197792	2018-11-22	0	0	0
1347463	2018-11-22	0	0	0
1024477	2018-11-22	0	0	0
1103300	2018-11-22	0	0	1
1338378	2018-11-22	0	0	0
1351212	2018-11-22	0	0	0
869926	2018-11-22	0	0	0
1307592	2018-11-22	1	1	1
1453024	2018-11-22	0	0	0
1282883	2018-11-22	0	0	1
1394325	2018-11-22	0	0	0
1306826	2018-11-22	1	1	1
1313503	2018-11-22	0	0	0
1345466	2018-11-22	0	0	0
1403315	2018-11-22	1	1	1
1348129	2018-11-22	1	1	1
1378181	2018-11-22	0	0	0
1151032	2018-11-22	0	0	0
1383702	2018-11-22	0	0	0
1181975	2018-11-22	0	0	0
1333457	2018-11-22	0	0	0
1262008	2018-11-22	0	0	1
365752	2018-11-22	0	0	0
1290752	2018-11-22	0	1	2
1303786	2018-11-22	0	0	0
1313780	2018-11-22	0	0	0
1151502	2018-11-22	1	1	1
1151719	2018-11-22	0	0	0
1335174	2018-11-22	0	0	0
1286223	2018-11-22	0	0	0
804669	2018-11-22	2	2	2
997389	2018-11-22	1	1	1
1390933	2018-11-22	0	0	0
1424044	2018-11-22	0	0	0
1327226	2018-11-22	0	0	0
1357410	2018-11-22	0	0	0
1354752	2018-11-22	0	0	0
1378134	2018-11-22	0	0	0
1420231	2018-11-22	0	0	0
839807	2018-11-22	0	0	0
1392105	2018-11-22	0	0	0
1304197	2018-11-22	0	0	0
1257720	2018-11-22	0	0	0
1392491	2018-11-22	0	0	0
1205143	2018-11-22	0	0	0
1226250	2018-11-22	0	0	1
1125991	2018-11-22	0	1	1
1233505	2018-11-22	0	0	0
1245605	2018-11-22	0	0	0
1131522	2018-11-22	0	1	1
1384181	2018-11-22	0	0	0
1124991	2018-11-22	0	0	1
784005	2018-11-22	0	1	2
1337034	2018-11-22	0	0	0
1053597	2018-11-22	1	1	1
1438453	2018-11-22	0	0	0
1099364	2018-11-22	0	0	1
1080998	2018-11-22	0	0	0
639983	2018-11-22	0	0	0
1296011	2018-11-22	0	0	0
1355693	2018-11-22	0	1	1
1252859	2018-11-22	0	0	0
1438167	2018-11-22	0	0	0
1402957	2018-11-22	0	0	0
1331915	2018-11-22	0	0	0
1124866	2018-11-22	1	1	1
1335725	2018-11-22	0	0	0
1325312	2018-11-22	0	0	0
1395371	2018-11-22	0	0	0
1391327	2018-11-22	0	0	0
1348762	2018-11-22	2	2	2
1356616	2018-11-22	0	0	0
1281074	2018-11-22	0	0	0
1441216	2018-11-22	0	0	0
1341842	2018-11-22	0	0	0
1345552	2018-11-22	0	0	0
500170	2018-11-22	0	0	0
1289732	2018-11-22	0	0	0
753294	2018-11-22	1	1	1
1209831	2018-11-22	1	2	2
1329709	2018-11-22	0	0	0
1206705	2018-11-22	0	0	0
1355045	2018-11-22	0	0	0
1405483	2018-11-22	0	0	0
1287257	2018-11-22	0	1	1
1351433	2018-11-22	1	1	1
867009	2018-11-22	0	1	1
1369419	2018-11-22	0	0	0
1392964	2018-11-22	0	0	0
1428296	2018-11-22	0	0	0
1422044	2018-11-22	1	1	1
1407102	2018-11-22	0	0	0
453290	2018-11-22	0	0	0
1153727	2018-11-22	0	0	0
1072888	2018-11-22	0	0	0
1280958	2018-11-22	0	0	0
1273436	2018-11-22	0	0	0
1297604	2018-11-22	1	1	1
1052983	2018-11-22	0	0	0
674615	2018-11-22	1	1	1
1303990	2018-11-22	0	0	0
1354160	2018-11-22	0	0	0
1416264	2018-11-22	0	0	0
1292396	2018-11-22	0	0	0
1260058	2018-11-22	0	0	0
1259740	2018-11-22	0	0	0
919058	2018-11-22	0	0	0
1331595	2018-11-22	0	0	0
1313425	2018-11-22	0	0	0
1146069	2018-11-22	0	0	0
1357138	2018-11-22	0	0	0
1356463	2018-11-22	0	0	0
550094	2018-11-22	0	0	1
1359585	2018-11-22	0	0	0
1354516	2018-11-22	0	0	0
1417595	2018-11-22	0	0	0
1302865	2018-11-22	0	0	0
1440184	2018-11-22	0	0	0
541220	2018-11-22	0	0	0
1134787	2018-11-22	0	0	0
1011640	2018-11-22	0	0	0
1415305	2018-11-22	0	0	0
1321574	2018-11-22	1	1	1
1244355	2018-11-22	0	0	0
893016	2018-11-22	1	1	1
1272270	2018-11-22	1	1	1
1027627	2018-11-22	1	1	1
1034736	2018-11-22	0	0	1
1332688	2018-11-22	0	0	0
1410250	2018-11-22	0	0	0
1212710	2018-11-22	0	0	0
1407324	2018-11-22	0	0	0
1158363	2018-11-22	0	0	0
1343572	2018-11-22	0	0	0
1351896	2018-11-22	0	0	0
1221854	2018-11-22	0	0	1
1083609	2018-11-22	0	0	0
1143724	2018-11-22	0	0	0
1301388	2018-11-22	0	0	0
1253674	2018-11-22	0	0	0
1319307	2018-11-22	0	0	0
1351260	2018-11-22	0	0	0
1385469	2018-11-22	0	0	0
1276673	2018-11-22	0	0	0
1097414	2018-11-22	0	0	0
1078761	2018-11-22	0	0	0
1301591	2018-11-22	0	1	1
837351	2018-11-22	0	0	0
1323215	2018-11-22	1	1	1
1354986	2018-11-22	0	0	0
1318886	2018-11-22	0	0	0
1316363	2018-11-22	0	0	0
1387392	2018-11-22	0	0	0
1276988	2018-11-22	0	0	0
1246707	2018-11-22	0	0	0
1186844	2018-11-22	1	1	2
1394125	2018-11-22	0	0	0
1393526	2018-11-22	0	0	0
1383765	2018-11-22	0	0	0
456522	2018-11-22	0	0	1
1381043	2018-11-22	0	0	0
785343	2018-11-22	0	0	0
1164416	2018-11-22	0	0	0
1339345	2018-11-22	0	0	0
1129569	2018-11-22	0	0	0
1259190	2018-11-22	0	0	0
1283240	2018-11-22	0	0	0
1289909	2018-11-22	0	0	0
1377496	2018-11-22	0	0	0
1245703	2018-11-22	0	0	0
1395061	2018-11-22	0	0	0
1348133	2018-11-22	0	0	0
1404490	2018-11-22	0	0	0
1172203	2018-11-22	0	0	0
1263688	2018-11-22	0	0	0
1311469	2018-11-22	0	1	1
1370280	2018-11-22	0	0	0
1436909	2018-11-22	0	0	0
1313605	2018-11-22	2	2	2
1305618	2018-11-22	0	1	1
