ID_CONTA	DT_ACORDO	QTD_CPC_10D	QTD_CPC_1M	QTD_CPC_3M	QTD_CPC_6M	QTD_CP_10D	QTD_CP_1M	QTD_CP_3M	QTD_CP_6M	QTD_ACIONAMENTO_10D	QTD_ACIONAMENTO_1M	QTD_ACIONAMENTO_3M	QTD_ACIONAMENTO_6M
1142142	2018-11-22	0	0	0	0	0	0	6	10	0	3	189	262
719832	2019-06-03	0	0	0	0	0	0	0	0	3	29	80	100
1296681	2019-06-04	0	0	0	0	0	0	0	0	1	10	28	55
1034691	2019-03-21	0	0	0	0	0	0	0	0	0	2	19	29
1304800	2019-06-04	0	0	0	0	0	0	2	4	0	41	106	185
826348	2019-06-03	0	0	2	3	0	0	1	3	0	33	55	82
1532783	2019-06-04	0	0	0	0	0	0	0	2	0	14	101	229
1057100	2019-03-20	0	0	0	0	0	0	0	0	2	5	13	32
1253574	2018-11-22	0	0	0	0	0	0	2	6	1	2	8	62
1490515	2019-06-04	0	0	0	1	0	0	0	0	1	30	76	163
1090642	2019-06-03	0	0	0	0	0	0	0	0	0	0	16	79
758236	2019-06-03	0	0	0	1	1	1	3	3	14	58	113	264
1476621	2019-06-03	0	0	0	0	0	0	0	0	3	12	22	106
522122	2018-11-22	0	0	0	0	0	0	0	0	7	17	17	17
1050161	2019-06-03	0	0	0	0	0	0	0	0	2	12	22	102
617427	2019-03-22	0	0	0	0	1	1	2	2	2	5	17	43
1194915	2018-11-22	0	0	0	0	0	0	0	2	7	18	36	75
1187184	2019-06-03	0	0	0	0	0	0	1	1	1	27	90	131
1020419	2019-03-22	0	0	0	0	0	0	3	3	7	14	36	39
1270090	2019-03-20	0	0	0	0	1	1	1	2	1	2	2	7
926654	2019-03-20	0	0	0	0	0	0	0	0	0	0	0	0
809860	2019-06-03	0	0	0	0	0	0	1	8	0	0	38	179
1170737	2018-11-22	0	0	0	0	0	0	0	0	0	0	18	90
1038957	2019-06-03	0	0	0	0	0	1	1	1	31	78	90	111
1111112	2019-06-03	0	0	0	0	0	0	1	1	0	6	26	48
872015	2019-06-03	0	0	0	0	0	0	0	0	1	10	57	128
970291	2018-11-22	0	0	0	2	0	0	0	3	0	0	0	94
841565	2018-11-22	0	0	0	0	0	0	0	0	0	2	2	2
1173985	2019-03-22	0	0	0	0	0	0	0	0	1	5	16	71
900476	2019-06-03	0	0	0	0	0	0	1	1	8	32	76	115
1119574	2019-03-22	0	0	0	0	0	0	0	0	2	5	32	78
1312354	2019-03-20	0	0	0	0	0	0	0	0	8	25	71	78
1250462	2019-06-03	0	0	0	0	0	0	0	0	0	2	6	37
638954	2019-03-22	0	0	0	0	0	0	0	0	1	4	26	30
857009	2019-06-03	0	0	0	0	0	0	0	0	4	28	85	137
469418	2019-03-20	0	0	1	1	1	3	7	12	4	9	27	59
1243758	2019-06-03	0	0	0	2	0	0	0	1	0	10	43	154
1472288	2019-06-04	0	0	0	0	1	1	2	6	1	14	49	98
845715	2018-11-22	0	0	0	0	0	0	0	0	1	2	2	2
1002612	2019-06-03	0	0	0	0	0	0	0	2	0	11	38	65
904446	2018-11-22	0	0	0	0	0	0	0	0	10	23	70	128
1138152	2019-06-03	0	0	0	0	0	0	0	0	6	80	165	192
618425	2019-06-03	0	0	0	1	0	0	0	2	3	31	62	107
1323188	2019-06-03	0	1	1	3	0	0	0	0	0	11	30	62
1075064	2019-06-03	0	0	0	0	0	0	1	1	0	11	36	36
1134835	2019-06-03	0	0	0	0	0	0	0	0	4	26	92	140
1085347	2019-03-22	0	0	0	0	0	0	0	0	2	2	2	2
1002258	2019-03-22	0	0	0	0	0	0	1	1	3	8	18	72
1390273	2019-06-04	0	0	0	0	0	0	1	6	1	7	44	106
511767	2019-03-20	0	0	0	0	0	0	0	0	3	9	16	58
351885	2019-03-22	0	0	1	1	0	0	0	0	2	3	37	75
1451006	2019-06-04	0	0	0	1	0	0	0	2	14	29	85	129
1180672	2019-03-20	0	0	0	0	0	0	0	0	1	6	8	32
1017132	2018-11-22	0	0	0	0	0	0	0	1	0	3	15	198
1248042	2019-03-22	0	0	0	0	0	0	2	8	3	7	31	94
647035	2019-06-03	0	0	0	0	0	0	1	5	3	9	36	111
1216302	2018-11-22	0	0	0	0	0	1	1	1	0	5	5	33
931146	2019-06-03	0	0	0	0	0	4	4	4	2	15	23	36
1124387	2018-11-22	0	0	0	0	0	0	0	1	1	3	4	13
1141882	2019-03-21	0	0	1	4	0	0	0	1	4	4	20	71
529025	2018-11-22	0	0	0	0	0	0	0	0	0	5	5	5
809489	2019-06-03	0	0	0	0	0	0	0	0	0	15	57	89
1485276	2019-06-04	0	0	0	0	0	0	2	6	2	13	41	149
1226066	2019-06-03	0	0	0	0	0	0	1	1	1	6	22	31
908400	2019-06-03	0	0	0	0	0	0	0	0	1	10	72	142
1119816	2019-03-21	0	0	0	0	0	0	0	1	4	7	25	30
1060931	2018-11-22	0	0	0	1	0	0	0	2	1	13	21	36
1301041	2019-03-20	0	0	0	0	0	0	0	0	2	6	19	42
968197	2019-06-03	0	0	0	0	0	0	0	3	2	15	76	138
913504	2019-06-03	0	0	0	0	0	0	0	0	2	22	68	147
1316610	2019-06-03	0	0	0	0	0	3	5	5	3	32	46	130
634504	2019-03-22	0	0	0	0	0	0	4	6	1	3	48	70
1326137	2018-11-22	0	0	0	0	0	0	0	0	0	1	1	5
1218296	2019-03-20	0	0	0	0	0	1	4	8	8	23	74	197
1060981	2019-03-22	0	0	0	0	0	0	1	1	1	4	20	48
1153705	2019-06-04	0	0	0	0	0	0	0	0	0	5	77	157
1234474	2019-06-03	0	0	0	0	0	0	0	0	3	11	65	149
1318207	2019-06-03	0	0	0	0	0	1	3	3	0	6	12	48
236191	2019-03-22	0	0	0	0	0	0	0	0	12	16	45	68
1004319	2019-06-03	0	0	0	0	0	1	1	1	6	14	14	21
1379071	2018-11-22	0	0	0	0	0	0	0	0	1	2	10	40
1095702	2019-03-22	0	0	0	0	0	0	0	0	3	6	21	62
1273671	2018-11-22	0	0	0	0	0	0	0	0	0	101	262	488
1261658	2019-06-03	0	0	0	0	0	0	0	0	2	20	53	79
1029875	2019-03-22	0	0	0	0	0	0	1	1	2	5	17	21
600977	2019-03-22	0	0	0	0	0	0	0	0	0	0	4	11
478515	2019-06-03	0	0	0	0	0	0	0	0	1	9	27	37
1423354	2019-06-04	0	0	0	0	0	0	0	0	3	22	86	250
703952	2018-11-22	0	0	0	0	0	0	0	0	1	4	4	4
387790	2019-03-20	0	0	0	1	1	1	1	1	5	5	18	37
1002482	2019-03-22	0	0	0	0	0	0	0	0	0	0	0	0
1272075	2018-11-22	0	0	0	0	0	0	0	0	0	3	46	101
278837	2019-06-03	0	0	0	0	0	3	4	5	1	10	22	51
695020	2019-03-21	0	0	0	0	0	0	0	0	2	5	24	26
685912	2019-06-03	0	0	0	0	0	0	2	5	1	14	120	223
1412258	2019-06-03	0	0	0	1	0	0	0	6	1	97	334	505
1285824	2019-03-22	0	0	0	0	0	0	0	0	3	5	13	18
1039877	2018-11-22	0	0	0	0	0	0	0	0	1	4	72	176
1179436	2019-03-20	0	0	0	0	0	0	0	0	2	8	28	54
1505157	2019-06-04	0	0	1	5	0	1	2	4	0	26	41	68
1024046	2019-04-04	0	0	1	1	0	0	0	0	4	4	14	24
1270177	2019-03-22	0	0	0	0	0	0	0	0	2	4	38	42
1328153	2018-11-22	0	0	0	0	0	0	0	0	11	15	18	18
690802	2019-03-22	0	0	0	0	0	0	0	0	1	6	32	72
1047208	2018-11-22	0	0	0	0	0	0	0	0	8	13	22	45
1130974	2019-03-22	0	0	0	0	0	0	0	2	4	7	26	93
1212701	2019-06-03	0	0	0	0	0	0	1	1	0	25	40	62
1516677	2019-06-04	0	0	0	1	0	0	2	4	1	15	162	318
1277807	2019-06-03	0	0	1	1	0	0	0	0	0	4	20	106
1233386	2019-06-03	0	0	0	0	0	0	0	1	0	6	23	58
1100243	2019-06-03	0	0	0	0	0	0	1	1	1	10	33	64
1505537	2019-06-04	0	0	0	0	0	0	0	0	5	68	129	336
1298802	2019-03-21	0	0	0	0	0	0	1	1	3	5	29	77
1335795	2019-03-22	0	0	0	0	0	0	0	0	6	11	39	43
1326682	2019-03-20	0	0	0	0	1	1	2	4	4	4	57	129
1440308	2019-06-04	0	0	0	0	0	0	2	11	1	10	37	119
1492140	2019-06-04	0	0	1	2	0	0	0	0	5	16	54	157
740712	2019-06-03	0	0	0	0	0	0	2	3	1	26	163	321
1293072	2019-06-04	0	0	0	2	0	0	2	3	1	14	27	135
1193568	2018-11-22	0	0	0	0	0	1	1	1	2	5	5	5
1314718	2019-06-03	0	0	0	1	0	0	0	2	0	0	29	70
1319297	2018-11-22	0	0	0	0	0	0	12	13	1	4	108	149
635024	2019-06-03	0	0	0	0	0	0	0	0	1	8	26	57
798717	2019-06-03	0	0	0	0	0	0	0	1	6	55	107	134
485151	2019-03-20	0	0	0	0	0	0	0	0	0	0	5	9
581482	2019-03-22	0	0	1	2	1	1	3	7	5	8	26	56
1450437	2019-03-20	0	0	0	1	0	0	1	3	8	26	65	74
1294338	2019-06-04	0	0	0	0	0	0	0	0	0	5	26	126
1418368	2019-06-03	0	0	0	0	0	0	2	2	1	6	64	201
389346	2019-03-21	0	0	0	0	0	0	1	3	0	3	27	34
1032720	2019-06-03	0	0	0	0	0	1	2	3	1	21	72	123
1101499	2019-06-03	0	0	0	0	0	0	0	1	1	9	92	106
1130395	2019-03-22	0	0	0	0	0	0	0	0	3	7	32	129
1504661	2019-06-04	0	1	1	2	0	0	3	6	0	6	116	189
1158369	2019-03-20	0	0	0	0	0	0	0	2	0	1	9	34
1364532	2019-06-04	0	0	0	0	0	0	0	1	0	0	0	27
790841	2019-06-03	0	0	0	0	0	0	0	0	1	9	34	114
1197549	2018-11-22	0	0	0	0	0	0	0	0	5	11	118	254
1473559	2019-06-04	0	0	0	0	0	1	1	6	3	12	61	139
1314872	2019-03-22	0	0	0	0	0	0	0	0	2	4	23	34
1157703	2019-06-03	0	0	0	1	0	0	1	2	5	48	195	335
1259994	2019-03-20	0	0	0	0	1	3	4	4	22	61	105	525
1145521	2019-06-03	0	0	0	0	0	0	0	0	0	6	36	60
1259294	2018-11-22	0	0	0	0	0	0	0	0	10	108	263	285
1290478	2019-03-22	0	0	0	0	0	0	0	0	1	6	28	80
1274226	2019-06-03	0	0	0	0	0	0	0	0	4	33	83	107
1271139	2019-06-03	0	0	0	0	0	1	4	4	1	10	18	31
570077	2019-06-03	0	0	0	0	1	4	6	7	2	18	66	184
1072304	2018-11-22	0	0	0	0	0	0	0	1	0	0	0	9
1220791	2019-06-03	0	0	0	0	0	0	1	1	0	13	41	70
856667	2018-11-22	0	0	0	0	0	0	0	0	7	20	193	284
764922	2019-06-03	0	0	0	0	0	1	2	2	2	8	37	82
1316955	2018-11-22	0	0	0	0	0	0	0	0	0	4	4	4
1199643	2019-03-20	0	0	0	1	1	1	1	3	2	6	20	76
512160	2019-06-03	0	0	1	4	0	0	0	0	10	33	47	98
532339	2019-06-03	0	0	2	3	0	0	5	8	0	0	28	129
1211262	2019-03-20	0	0	0	0	0	0	0	2	2	7	22	91
1051938	2019-03-20	0	0	0	0	0	0	0	1	2	7	36	122
1037185	2019-03-22	0	0	0	0	0	0	0	0	1	3	32	43
1104123	2018-11-22	0	0	0	0	0	0	0	0	9	16	16	16
1183035	2019-06-03	0	0	0	0	0	0	0	0	0	23	58	112
905500	2019-03-22	0	0	0	0	0	0	0	0	2	4	16	30
976406	2019-06-03	0	0	0	0	0	0	0	0	0	0	2	13
1471126	2019-06-04	0	0	0	0	0	0	0	0	1	24	71	140
699607	2019-06-03	0	0	0	0	0	0	0	0	0	7	30	58
1094489	2019-03-22	0	0	0	0	1	1	1	1	4	8	37	58
1305536	2018-11-22	0	0	0	1	0	1	5	8	0	9	93	111
1253070	2019-06-03	0	0	0	0	0	0	3	4	2	7	24	34
1493050	2019-06-04	0	0	0	0	0	0	0	3	1	6	42	128
446679	2018-11-22	0	0	0	0	0	0	0	0	0	0	0	12
768820	2019-06-03	0	0	0	0	0	0	0	0	2	9	36	54
1451260	2019-03-20	0	0	0	0	1	1	2	4	13	31	92	170
1203522	2019-06-03	0	0	0	0	0	4	10	20	3	44	126	234
780389	2018-11-22	0	0	0	0	0	0	0	0	10	15	15	15
1326895	2018-11-22	0	0	0	0	0	0	0	0	0	0	0	1
1127305	2019-06-03	0	0	0	0	0	2	5	14	2	15	45	111
1258657	2019-06-03	0	1	1	3	0	0	1	2	1	8	24	77
1103397	2019-06-03	0	0	0	0	0	0	0	0	1	10	29	68
1317964	2019-03-22	0	0	0	0	0	0	0	0	3	7	18	21
737891	2019-03-22	0	0	0	0	0	0	0	0	3	8	23	46
1264094	2019-03-20	0	0	0	0	0	0	0	0	0	0	0	0
1244228	2018-11-22	0	0	0	0	0	0	0	0	0	0	0	5
1090555	2019-06-03	0	0	0	0	0	0	1	1	9	73	112	140
1448855	2019-06-04	0	0	0	0	0	3	4	8	19	119	202	449
1207090	2019-06-03	0	0	0	0	0	0	0	0	0	4	19	31
1378601	2018-11-22	0	0	0	0	0	0	0	0	9	10	10	10
1335027	2019-04-04	0	0	0	0	1	1	1	1	11	11	11	48
1206372	2019-06-03	0	0	0	0	0	0	2	3	1	8	37	195
1037343	2019-06-03	0	0	0	0	0	0	0	0	1	23	72	148
1506467	2019-06-04	0	0	0	1	0	0	5	6	2	18	119	267
783876	2019-06-03	0	0	0	0	0	0	1	2	0	9	28	57
712673	2019-06-03	0	0	0	0	0	0	1	1	0	26	55	76
1236163	2019-03-22	0	0	0	0	0	0	0	0	3	7	35	41
701378	2019-03-20	0	0	0	0	0	0	0	0	0	0	5	14
1011670	2019-03-21	0	0	0	0	0	0	0	1	3	5	34	38
1002266	2019-03-22	0	0	0	0	0	0	0	0	2	6	21	28
1284584	2019-03-22	0	0	0	0	0	0	0	0	3	6	23	41
1119548	2019-06-03	0	0	0	0	0	0	1	1	8	11	34	121
1206887	2019-03-22	0	0	0	0	0	0	0	0	1	5	39	57
1166973	2019-03-22	0	0	0	0	0	0	1	5	3	4	18	63
1466564	2019-06-03	0	0	0	0	0	0	0	2	2	9	32	76
653063	2019-06-03	0	0	1	1	0	0	0	0	0	9	34	71
289203	2019-03-20	0	0	0	4	0	0	0	5	1	4	26	74
1265330	2019-06-03	0	0	0	0	0	2	3	3	2	14	48	109
457329	2019-06-03	0	0	0	0	0	0	1	1	0	0	8	8
1380953	2019-06-03	0	0	0	0	0	0	0	0	3	21	123	224
1251491	2018-11-22	0	0	0	0	0	0	0	0	0	2	2	2
1311176	2019-03-20	0	0	0	0	0	0	2	5	11	31	85	121
1530915	2019-06-04	0	0	0	0	0	0	0	0	2	17	85	181
1220020	2019-06-03	0	0	0	0	0	0	0	0	0	0	9	27
1480512	2019-06-03	0	0	0	0	0	0	2	2	0	3	27	83
1026456	2019-03-22	0	0	0	0	2	5	6	7	17	37	81	106
1436075	2018-11-22	0	0	0	0	0	0	0	0	1	3	13	32
783301	2018-11-22	0	0	0	1	0	0	0	1	0	4	92	127
1247448	2019-03-20	0	0	0	0	0	0	1	2	2	10	34	49
250015	2019-06-03	0	0	0	0	0	0	1	2	2	23	54	75
753763	2019-06-03	0	0	0	0	0	0	0	0	2	7	11	16
720081	2019-03-22	0	0	0	0	0	0	0	0	2	5	27	49
1103734	2019-06-03	0	0	0	0	0	0	1	7	2	16	65	121
1367830	2019-03-20	0	0	1	2	0	0	0	1	12	16	54	73
662055	2019-03-22	0	0	0	0	0	0	0	0	3	8	28	34
861305	2019-06-03	0	0	0	0	0	0	1	1	0	20	38	70
1281804	2019-03-22	0	0	0	0	0	0	1	3	3	8	23	30
777835	2019-06-03	0	0	0	0	0	0	1	8	4	16	42	71
1264717	2019-06-04	0	0	0	0	0	0	1	3	7	22	43	125
610723	2018-11-22	0	0	0	0	0	0	0	0	8	14	14	14
1354158	2019-06-04	0	0	0	0	0	0	0	0	5	7	30	136
765326	2019-03-20	0	0	0	0	0	0	0	0	1	5	5	8
1252176	2019-03-20	0	0	0	0	0	0	0	0	2	5	22	29
1281408	2019-03-20	0	0	0	0	0	0	0	0	10	23	106	588
1134080	2018-11-22	0	0	0	0	0	0	0	0	0	1	26	45
1170789	2019-06-03	0	0	0	0	0	0	0	3	6	37	83	301
1204113	2019-06-03	0	0	0	1	0	0	2	3	2	28	70	151
893625	2019-03-22	0	0	0	0	0	0	0	2	2	4	33	125
1432426	2019-03-22	0	0	2	2	1	2	3	4	12	15	73	106
1125639	2018-11-22	0	0	0	0	0	0	1	1	7	21	182	352
1240950	2019-06-03	0	0	0	0	0	1	1	2	0	15	52	168
1084784	2019-06-03	0	0	2	2	0	0	1	1	1	5	20	25
1260778	2019-06-03	0	0	1	3	0	0	0	0	1	5	71	95
1364232	2018-11-22	0	0	0	0	0	0	0	0	3	5	5	5
1303747	2018-11-22	0	0	0	0	0	0	0	0	12	16	42	44
768905	2019-06-03	0	0	0	0	0	0	1	6	0	4	27	108
315714	2019-03-22	0	0	0	0	0	0	0	1	0	0	2	8
678655	2019-03-22	0	0	3	3	0	0	1	1	3	5	22	25
662250	2019-03-22	0	0	0	0	0	0	1	1	4	9	100	263
1202955	2019-03-20	0	0	0	0	0	0	0	7	0	1	4	24
527713	2019-03-22	0	0	0	0	0	0	0	0	3	9	21	151
1293515	2018-11-22	0	0	0	0	0	0	0	0	1	2	2	2
873204	2019-06-03	0	0	0	0	0	0	0	0	0	8	58	79
1403417	2019-04-04	0	0	1	4	0	1	1	2	1	8	21	89
1243109	2019-06-03	0	0	0	0	0	1	4	4	0	9	20	46
982187	2019-06-03	0	0	0	0	0	0	0	0	4	11	54	156
754003	2019-06-03	0	0	0	0	0	0	0	0	0	7	34	63
1184941	2018-11-22	0	0	1	1	0	0	2	2	9	18	88	267
1160809	2018-11-22	0	0	0	0	0	1	1	1	2	4	4	4
279008	2019-03-22	0	0	0	0	0	0	1	1	2	5	19	25
826990	2019-06-03	0	0	0	0	0	0	0	0	0	0	0	50
1185092	2019-06-04	0	0	0	4	0	0	0	1	3	21	63	82
1336687	2019-03-20	0	0	0	0	0	0	0	0	1	3	4	7
1464403	2019-06-04	0	0	0	0	0	0	0	0	1	5	31	69
1303601	2019-06-04	0	0	0	0	0	0	0	0	4	13	35	116
1457137	2019-06-04	0	0	0	1	0	0	1	2	9	28	44	177
1391475	2018-11-22	0	0	0	3	1	1	3	7	12	29	183	345
1141331	2019-03-22	0	0	0	0	0	0	0	0	5	8	37	97
832699	2018-11-22	0	0	1	2	0	0	7	11	11	13	121	258
1136461	2019-06-03	0	0	0	0	0	0	0	3	1	6	23	34
1106855	2018-11-22	0	0	0	3	0	1	4	5	12	149	1592	1806
692354	2019-06-03	0	0	0	0	0	0	0	0	1	11	46	142
1470044	2019-03-20	0	0	0	0	2	2	2	2	15	34	163	345
535562	2019-03-22	0	0	0	0	0	0	0	0	2	7	23	41
1485499	2019-06-03	0	0	1	1	0	0	1	2	1	6	30	71
1437908	2019-06-04	0	0	0	0	0	0	2	2	2	13	58	102
1188487	2019-03-20	0	0	0	0	0	0	0	0	3	7	31	66
1447130	2019-03-20	0	0	0	0	0	0	0	0	1	3	22	211
1200901	2019-03-22	0	0	0	0	0	0	4	6	4	10	29	63
1164747	2019-06-03	0	1	1	1	0	0	0	0	3	9	48	79
1519674	2019-03-20	0	0	1	1	1	1	2	2	17	24	56	547
1445938	2019-06-04	0	0	0	0	0	0	1	1	1	7	41	77
1077796	2018-11-22	0	0	0	0	0	0	0	0	0	1	1	1
1322493	2018-11-22	0	0	0	0	0	0	0	2	1	3	10	16
735855	2019-03-20	0	0	0	0	0	0	1	1	3	7	21	84
1002524	2019-06-03	0	0	0	0	0	0	0	4	1	5	29	48
1472845	2019-06-03	0	0	0	0	0	0	0	0	1	17	53	184
860595	2019-03-22	0	0	0	0	0	0	0	0	3	8	31	55
1369087	2019-06-03	0	0	1	2	0	0	0	0	0	6	24	46
315151	2018-11-22	0	0	0	0	0	0	0	0	7	18	18	18
695776	2019-03-20	0	0	0	0	2	2	3	17	13	22	74	259
1217455	2019-06-03	0	0	0	1	0	1	3	3	1	36	115	228
790072	2019-03-22	0	0	0	0	0	0	0	0	0	1	5	8
963924	2019-06-03	0	0	0	0	0	0	0	0	0	0	2	2
683766	2019-03-22	0	0	1	1	1	2	5	5	5	7	28	36
1540829	2019-06-04	0	0	0	1	0	1	2	5	7	24	41	220
1265857	2019-03-20	0	0	0	0	0	1	1	1	1	7	32	39
924327	2019-06-03	0	0	0	0	0	0	0	0	2	21	74	190
705183	2018-11-22	0	0	0	0	0	0	0	0	1	2	2	2
739133	2018-11-22	0	0	0	0	0	0	0	0	0	0	0	2
884509	2018-11-22	0	0	0	0	0	0	0	0	1	2	6	8
1242151	2019-03-22	0	0	0	0	0	0	1	1	2	4	15	23
1102889	2019-06-03	0	0	0	0	0	0	1	1	0	28	85	181
320593	2018-11-22	0	0	0	0	1	1	1	2	9	9	11	12
1107401	2019-03-22	0	0	0	0	0	0	0	1	1	5	30	55
1138159	2018-11-22	0	0	0	0	0	0	1	5	0	3	44	230
1057683	2019-03-20	0	0	0	0	0	0	0	0	2	21	45	137
1337311	2019-06-03	0	1	2	2	0	0	0	0	0	4	51	88
1235690	2019-06-04	0	0	0	0	0	0	0	1	1	7	30	50
1328479	2019-03-22	0	0	1	1	0	1	1	1	1	18	43	67
829878	2018-11-22	0	0	0	0	0	0	0	0	0	3	3	3
1203617	2018-11-22	0	0	0	0	0	0	0	0	0	0	16	28
1345103	2018-11-22	0	0	0	0	0	0	0	0	9	15	15	15
1192601	2019-03-20	0	0	0	0	0	0	1	1	1	4	21	27
1322255	2018-11-22	0	0	0	0	0	0	2	2	0	13	134	155
1207469	2019-03-22	0	0	0	0	0	0	1	1	1	2	21	50
1379223	2019-03-20	0	0	1	1	0	0	1	1	3	7	20	29
1266956	2019-03-21	0	0	0	0	0	0	0	0	3	8	34	69
1299508	2019-03-22	0	0	0	0	0	0	0	0	2	7	64	71
737498	2019-06-03	0	0	0	0	0	1	2	2	2	21	43	60
1076674	2019-06-03	0	0	0	0	0	0	1	2	0	0	15	46
1253334	2019-03-22	1	1	1	1	0	0	0	3	1	6	17	41
1231463	2019-06-03	0	0	0	2	0	0	2	2	1	10	36	79
845221	2019-03-22	0	0	0	0	0	0	0	1	0	0	0	60
391611	2019-03-22	0	0	0	0	0	0	2	10	1	4	22	65
1476277	2019-06-03	0	0	0	0	0	0	0	0	12	27	158	233
1120796	2019-03-22	0	0	0	0	1	1	5	5	2	5	40	65
1249523	2019-03-22	0	0	0	0	0	0	0	0	2	8	13	15
1256396	2019-03-22	0	0	0	0	0	1	1	2	3	10	24	45
1532255	2019-06-04	0	0	0	0	0	0	0	0	4	53	141	263
1349585	2019-03-20	0	0	0	0	0	0	0	0	11	27	44	102
1053920	2019-06-03	0	0	0	0	0	0	1	1	0	7	40	120
781210	2019-03-22	0	0	0	0	0	0	1	1	2	8	23	32
1172726	2019-03-22	0	0	0	0	0	0	0	0	2	7	20	39
680680	2019-06-03	0	0	0	0	0	0	1	2	3	18	60	83
934277	2019-03-22	0	0	0	0	0	0	0	0	1	6	25	28
1184034	2019-03-22	0	0	0	0	0	0	0	0	0	0	1	12
1330406	2018-11-22	0	0	0	0	0	0	0	0	0	15	33	33
634453	2019-06-03	0	0	0	0	0	0	0	0	0	0	0	1
826027	2019-03-20	0	0	0	0	0	0	0	0	2	5	36	39
1428654	2019-06-04	0	0	0	0	0	0	1	1	0	20	61	84
1459789	2019-06-04	0	0	0	0	0	1	1	4	3	11	60	115
